year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,4,22.2,25.0,21.1,23.2,20.0,16.2,10.5,15.4,16.3,17.3,21.0,29.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,5,21.4,20.2,19.5,28.3,26.5,14.4,13.7,17.6,15.5,21.6,18.4,23.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,6,22.9,21.0,21.5,19.6,17.5,14.2,11.9,14.4,19.1,26.0,16.9,28.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,7,27.4,28.3,31.9,22.6,16.2,13.3,13.3,13.5,21.6,19.0,18.5,20.6
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,8,36.9,34.2,31.3,25.0,15.5,12.3,13.1,10.3,23.7,19.8,22.6,19.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,9,36.4,32.2,19.5,23.0,14.1,14.7,12.5,13.2,17.6,26.8,22.3,19.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,10,21.2,22.6,20.1,18.6,16.8,12.2,13.4,13.8,25.2,15.2,19.4,23.1
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,11,21.4,20.3,21.2,26.8,17.1,15.2,11.1,14.6,17.4,15.6,18.2,30.8
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,12,28.3,29.5,21.7,29.5,15.7,15.4,12.8,13.0,16.1,20.4,17.0,25.3
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,13,38.5,34.9,18.6,20.5,18.8,16.7,13.5,13.5,17.7,26.7,17.3,18.5
